"","RegYear","ASAB","AllAgesCounts","AgeGroup","Counts"
"1",1970,"Male",43,"Under 15",NA
"2",1970,"Male",43,"15-19",1
"3",1970,"Male",43,"20-24",2
"4",1970,"Male",43,"25-29",2
"5",1970,"Male",43,"30-34",NA
"6",1970,"Male",43,"35-39",7
"7",1970,"Male",43,"40-44",7
"8",1970,"Male",43,"45-49",8
"9",1970,"Male",43,"50-54",3
"10",1970,"Male",43,"55-59",5
"11",1970,"Male",43,"60-64",4
"12",1970,"Male",43,"65-69",2
"13",1970,"Male",43,"70-74",1
"14",1970,"Male",43,"75-79",NA
"15",1970,"Male",43,"80-84",1
"16",1970,"Male",43,"85+",NA
"17",1970,"Female",30,"Under 15",NA
"18",1970,"Female",30,"15-19",2
"19",1970,"Female",30,"20-24",1
"20",1970,"Female",30,"25-29",3
"21",1970,"Female",30,"30-34",2
"22",1970,"Female",30,"35-39",1
"23",1970,"Female",30,"40-44",3
"24",1970,"Female",30,"45-49",NA
"25",1970,"Female",30,"50-54",4
"26",1970,"Female",30,"55-59",7
"27",1970,"Female",30,"60-64",6
"28",1970,"Female",30,"65-69",1
"29",1970,"Female",30,"70-74",NA
"30",1970,"Female",30,"75-79",NA
"31",1970,"Female",30,"80-84",NA
"32",1970,"Female",30,"85+",NA
"33",1970,"TOTAL",73,"Under 15",0
"34",1970,"TOTAL",73,"15-19",3
"35",1970,"TOTAL",73,"20-24",3
"36",1970,"TOTAL",73,"25-29",5
"37",1970,"TOTAL",73,"30-34",2
"38",1970,"TOTAL",73,"35-39",8
"39",1970,"TOTAL",73,"40-44",10
"40",1970,"TOTAL",73,"45-49",8
"41",1970,"TOTAL",73,"50-54",7
"42",1970,"TOTAL",73,"55-59",12
"43",1970,"TOTAL",73,"60-64",10
"44",1970,"TOTAL",73,"65-69",3
"45",1970,"TOTAL",73,"70-74",1
"46",1970,"TOTAL",73,"75-79",0
"47",1970,"TOTAL",73,"80-84",1
"48",1970,"TOTAL",73,"85+",0
"49",1971,"Male",48,"Under 15",NA
"50",1971,"Male",48,"15-19",1
"51",1971,"Male",48,"20-24",3
"52",1971,"Male",48,"25-29",2
"53",1971,"Male",48,"30-34",2
"54",1971,"Male",48,"35-39",5
"55",1971,"Male",48,"40-44",4
"56",1971,"Male",48,"45-49",12
"57",1971,"Male",48,"50-54",3
"58",1971,"Male",48,"55-59",6
"59",1971,"Male",48,"60-64",4
"60",1971,"Male",48,"65-69",3
"61",1971,"Male",48,"70-74",NA
"62",1971,"Male",48,"75-79",2
"63",1971,"Male",48,"80-84",NA
"64",1971,"Male",48,"85+",1
"65",1971,"Female",22,"Under 15",NA
"66",1971,"Female",22,"15-19",NA
"67",1971,"Female",22,"20-24",1
"68",1971,"Female",22,"25-29",1
"69",1971,"Female",22,"30-34",NA
"70",1971,"Female",22,"35-39",1
"71",1971,"Female",22,"40-44",3
"72",1971,"Female",22,"45-49",1
"73",1971,"Female",22,"50-54",5
"74",1971,"Female",22,"55-59",3
"75",1971,"Female",22,"60-64",3
"76",1971,"Female",22,"65-69",1
"77",1971,"Female",22,"70-74",3
"78",1971,"Female",22,"75-79",NA
"79",1971,"Female",22,"80-84",NA
"80",1971,"Female",22,"85+",NA
"81",1971,"TOTAL",70,"Under 15",0
"82",1971,"TOTAL",70,"15-19",1
"83",1971,"TOTAL",70,"20-24",4
"84",1971,"TOTAL",70,"25-29",3
"85",1971,"TOTAL",70,"30-34",2
"86",1971,"TOTAL",70,"35-39",6
"87",1971,"TOTAL",70,"40-44",7
"88",1971,"TOTAL",70,"45-49",13
"89",1971,"TOTAL",70,"50-54",8
"90",1971,"TOTAL",70,"55-59",9
"91",1971,"TOTAL",70,"60-64",7
"92",1971,"TOTAL",70,"65-69",4
"93",1971,"TOTAL",70,"70-74",3
"94",1971,"TOTAL",70,"75-79",2
"95",1971,"TOTAL",70,"80-84",0
"96",1971,"TOTAL",70,"85+",1
"97",1972,"Male",43,"Under 15",NA
"98",1972,"Male",43,"15-19",2
"99",1972,"Male",43,"20-24",4
"100",1972,"Male",43,"25-29",4
"101",1972,"Male",43,"30-34",1
"102",1972,"Male",43,"35-39",3
"103",1972,"Male",43,"40-44",2
"104",1972,"Male",43,"45-49",3
"105",1972,"Male",43,"50-54",3
"106",1972,"Male",43,"55-59",8
"107",1972,"Male",43,"60-64",8
"108",1972,"Male",43,"65-69",3
"109",1972,"Male",43,"70-74",1
"110",1972,"Male",43,"75-79",NA
"111",1972,"Male",43,"80-84",NA
"112",1972,"Male",43,"85+",1
"113",1972,"Female",24,"Under 15",NA
"114",1972,"Female",24,"15-19",NA
"115",1972,"Female",24,"20-24",NA
"116",1972,"Female",24,"25-29",NA
"117",1972,"Female",24,"30-34",2
"118",1972,"Female",24,"35-39",3
"119",1972,"Female",24,"40-44",2
