"","Registration Year","Male","Female","Total"
"1",1971,6.36087636974184,2.79969457877322,4.54423586401829
"2",1972,5.67650021319879,3.0711430282494,4.35354134597203
"3",1973,7.01294748890168,5.94124879883448,6.47061783942802
"4",1974,7.28483575344407,3.49764038816036,5.37021052535067
"5",1975,8.09715524370446,4.80415286554734,6.43248061394746
"6",1976,7.29399439025522,5.06838419911732,6.16991823545589
"7",1977,7.69304230642714,4.80905453987746,6.23641937622677
"8",1978,8.75829881988559,5.84678309993841,7.28717031298725
"9",1979,11.5206610475856,4.78600107620349,8.11383978961599
"10",1980,9.93690726348173,5.52691414388743,7.69846546096519
"11",1981,13.4809185527837,4.57817811401953,8.94382500174988
"12",1982,9.38238780448161,6.47365855639953,7.898766303345
"13",1983,13.3067549567662,7.83276293132309,10.5123310287896
"14",1984,10.7709363358851,5.15069553233695,7.89819927477835
"15",1985,14.7730763951079,5.4969285911497,10.0296930019574
"16",1986,16.0076420222727,6.33447519494037,11.0581435919011
"17",1987,10.3512971469237,5.19092724791868,7.71198151147252
"18",1988,17.9637623097004,5.42098908409925,11.5425370874962
"19",1989,13.2742393409791,3.80603465210388,8.42536790249209
"20",1990,15.5550184860468,5.74775195637579,10.5289876190387
"21",1991,13.4073932196897,5.21752846889807,9.20801719659428
"22",1992,13.0031460038681,3.00789150415029,7.88535191155099
"23",1993,15.033600096215,3.70219982324982,9.2323570268631
"24",1994,14.5895110144573,4.03915125552265,9.18655210448091
"25",1995,13.0594740887596,4.85139927371003,8.85314750617143
"26",1996,14.0680473920432,3.406138566415,8.60538070986568
"27",1997,13.2431004059991,3.50572953062956,8.25723809746054
"28",1998,13.8028922556002,4.30683273192876,8.94044412550238
"29",1999,15.5162260628615,3.13768146257792,9.17209348864745
"30",2000,17.0632241205736,5.21759698353326,10.9926414663827
"31",2001,16.0110816092107,3.00616263339847,9.35288124978172
"32",2002,17.1320470624572,4.72467258595159,10.7860177845519
"33",2003,13.4482518473335,3.67898129008078,8.45751391378504
"34",2004,12.5524363083404,4.69198277470129,8.53640425604068
"35",2005,19.7806362968754,5.22639374287052,12.3520651725114
"36",2006,26.5993597405215,7.20546264136498,16.7085912590526
"37",2007,20.3016241299304,7.46811005542006,13.7566594737907
"38",2008,25.0325538027664,7.07857326931649,15.8872970918922
"39",2009,23.3323355440247,6.04205047419111,14.5341037153641
"40",2010,27.1372261684272,7.97815951510276,17.394764453771
"41",2011,24.2881655913156,7.89192601913954,15.928850399985
"42",2012,24.1757203802447,6.81084026309303,15.3225619764562
"43",2013,25.5254167386543,7.93497608784233,16.5598655535668
"44",2014,22.9309269522583,6.50467536871379,14.5612763502052
"45",2015,26.9488708423117,7.74542383383625,17.1741409284081
"46",2016,24.2566484523275,8.02598730204325,16.0031189971522
"47",2017,25.4279281237232,7.46907696936416,16.3028895134469
"48",2018,25,8,16
